time,.layout.dim,.layout.data_offset,.data,,,,,
1970/01/01/01:00:06.910000,[],0,4.143514675364275e-19, 2.4198271846262087e-19, -7.220160007476807, -4.584558072195658e-20, 7.478273023097404e-20, 1.281989716493971e-19
1970/01/01/01:00:06.920000,[],0,4.0213674992479834e-19, 3.3495094337473934e-19, -7.220160007476807, -6.089648093417984e-20, 7.26848257141291e-20, 1.2460255836707846e-19
1970/01/01/01:00:06.930000,[],0,2.530384267890925e-19, 2.0422515467384295e-19, -7.220160007476807, -4.1034152210896914e-20, 5.06553484094426e-20, 8.683774382324362e-20
1970/01/01/01:00:06.940000,[],0,2.5126906160944744e-19, 1.85261896959397e-19, -7.220160007476807, -3.7351718607221296e-20, 5.042988353138508e-20, 8.645123075733115e-20
1970/01/01/01:00:06.950000,[],0,2.49509984488671e-19, 1.6665938046490368e-19, -7.220160007476807, -3.3739201152352014e-20, 5.020388227839911e-20, 8.606380003792663e-20
1970/01/01/01:00:06.960000,[],0,2.477610920291866e-19, 1.4841224144107845e-19, -7.220160007476807, -3.0195559408174844e-20, 4.99773834245759e-20, 8.567550982616687e-20
1970/01/01/01:00:06.970000,[],0,2.460224359297826e-19, 1.305152066115163e-19, -7.220160007476807, -2.671977070803403e-20, 4.975041281930959e-20, 8.528642474553724e-20
1970/01/01/01:00:06.980000,[],0,2.5828554360724607e-19, 2.022785046556473e-20, -7.220160007476807, -9.430676470194265e-21, 5.207899086713172e-20, 8.927826913474744e-20
1970/01/01/01:00:06.990000,[],0,2.702775428389453e-19, -8.785578343744619e-20, -7.220160007476807, 7.51357796405822e-21, 5.435578934731259e-20, 9.318135316682158e-20
1970/01/01/01:00:07.000000,[],0,2.8200269877491376e-19, -1.937689584210162e-19, -7.220160007476807, 2.411819720867526e-20, 5.658161605341915e-20, 9.699705332199773e-20
1970/01/01/01:00:07.010000,[],0,2.9346512146882006e-19, -2.9754449190659603e-19, -7.220160007476807, 4.038831156060053e-20, 5.8757262623147e-20, 1.0072673961816544e-19
1970/01/01/01:00:07.020000,[],0,1.9551721757034409e-19, -1.7071708911038842e-19, -7.220160007476807, 1.63916161979168e-20, 4.189985488307048e-20, 7.182831896392166e-20
